# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
215,2,20,646.7066518,35.77,0
216,2,20.17427746,666.2367052,34.98,0
217,2,20.09812139,662.2004335,34.74,0
218,2,20,638.1330357,34.64,0
219,2,20,604.3561607,34.31,0
220,2,20,587.7181696,34.12,0
221,2,20,564.4767411,34.26,0
222,2,20,556.5960268,34.58,0
223,2,20,547.3044643,34.46,0
224,2,20,542.1786607,34.03,0
225,2,20,528.7797768,33.56,0
226,2,20,522.8441964,33.26,0
227,2,20,511.8579464,33.04,0
228,2,20,502.4745536,32.76,0
229,2,20,500.3290625,32.42,0
230,2,20,493.2080357,32.13,0
231,2,20,485.6529018,31.91,0
232,2,20,472.2874107,31.68,0
233,2,20,460.3244196,31.47,0
234,2,20,451.9344643,31.33,0
235,2,20,441.9917411,31.46,0
236,2,20,438.0847768,32.08,0
237,2,20,439.963125,32.71,0
238,2,20,442.4258482,32.79,0
239,2,20,444.638125,32.45,0
240,2,20,446.9255357,32.07,0
241,2,20,446.7836161,31.77,0
242,2,20,444.5880357,31.52,0
243,2,20,436.4234821,31.28,0
244,2,20,433.0424554,31.22,0
245,2,20,437.1831696,32,0
246,2,20,444.6715179,36.44,0
247,2,20,447.2427679,42.49,0
248,2,20,449.9392411,43.72,0
249,2,20,463.5050893,43.85,0
250,2,20,475.8270536,42.73,0
251,2,20,484.9349554,40.53,0
252,2,20,494.0595536,38.59,0
253,2,20,507.8007143,37.42,0
254,2,20,530.2407143,39.12,0
